headerId,index,timestamp,eventType,contentId,authorPersonId,authorSessionId,authorUserAgent,authorRegion,authorCountry,contentType,url,title,text,lang,total_events,soup,meta
0,3096,1487246811,CONTENT SHARED,-4029704725707465084,6013226412048763966,-6569695881431984742,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",SP,BR,HTML,http://www.cnbc.com/2016/12/21/former-google-career-coach-shares-a-useful-visual-trick.html,Former Google career coach shares a visual trick for figuring out what to do with your life,,en,433,Former Google career coach shares a visual trick for figuring out what to do with your life,
1,1671,1467813728,CONTENT SHARED,-133139342397538859,4918484843075254252,-5701227433817087697,,,,HTML,http://gq.globo.com/Prazeres/Poder/Carreira/noticia/2016/06/novo-workaholic-trabalha-pratica-esportes-e-tem-tempo-para-familia-conheca.html,"Novo workaholic trabalha, pratica esportes e tem tempo para a família. Conheça",,pt,315,"Novo workaholic trabalha, pratica esportes e tem tempo para a família. Conheça",
2,1814,1468867647,CONTENT SHARED,-6783772548752091658,4918484843075254252,-8995217520473210153,,,,HTML,http://www.caroli.org/livro-retrospectivas-divertidas/,Livro: Retrospectivas Divertidas,,pt,294,Livro: Retrospectivas Divertidas,
3,1317,1465484901,CONTENT SHARED,8657408509986329668,-8020832670974472349,838596071610016700,,,,HTML,https://medium.com/practical-blend/pull-request-first-f6bb667a9b6,Pull request first - Practical Blend,,en,294,Pull request first - Practical Blend,
4,588,1461629452,CONTENT SHARED,-6843047699859121724,7527226129639571966,-1297230017812472163,,,,HTML,https://medium.com/@jeffersoncn/ganhe-6-meses-de-acesso-ao-pluralsight-maior-plataforma-de-treinamento-online-dd2b1c9a22b9,"Ganhe 6 meses de acesso ao Pluralsight, maior plataforma de treinamento online",,pt,281,"Ganhe 6 meses de acesso ao Pluralsight, maior plataforma de treinamento online",
5,2308,1473593226,CONTENT SHARED,-2358756719610361882,-9120685872592674274,5016857076790212194,,,,HTML,http://www.attps.com.br/cinco-motivos-para-investir-em-automacao-de-testes-e-reduzir-o-custo-do-erro/,Custo do Erro - Cinco motivos para investir em automação de testes,,pt,280,Custo do Erro - Cinco motivos para investir em automação de testes,
6,1902,1469678235,CONTENT SHARED,-8208801367848627943,-3390049372067052505,2045534933671019150,,,,HTML,http://www.geekwire.com/2016/ray-kurzweil-world-isnt-getting-worse-information-getting-better/,Ray Kurzweil: The world isn't getting worse - our information is getting better,,en,266,Ray Kurzweil: The world isn't getting worse - our information is getting better,
7,1942,1469992520,CONTENT SHARED,2581138407738454418,6756039155228175109,611377856408166257,,,,HTML,https://medium.com/@rdsubhas/10-modern-software-engineering-mistakes-bc67fbef4fc8,10 Modern Software Over-Engineering Mistakes,,en,255,10 Modern Software Over-Engineering Mistakes,
8,1724,1468247818,CONTENT SHARED,-1297580205670251233,534764222466712491,-9077035980881675856,,,,HTML,https://viagensdealline.com/2013/08/20/a-minha-viagem-a-maternidade/,A minha viagem à Maternidade #tetodomundo,,pt,253,A minha viagem à Maternidade #tetodomundo,
9,2095,1471520397,CONTENT SHARED,-1633984990770981161,2195040187466632600,1000828687449358272,,,,HTML,https://medium.com/@roxrogge/ux-ou-ui-4c0a1bcb4b83,UX ou UI?,,pt,249,UX ou UI?,
10,2351,1473971457,CONTENT SHARED,3367026768872537336,-3535274684588209118,-6495023147849651556,,,,HTML,http://br.blog.trello.com/melhore-a-comunicacao-na-empresa/,Seja esperto no trabalho: Melhore a comunicação na empresa com 12 robôs,,pt,247,Seja esperto no trabalho: Melhore a comunicação na empresa com 12 robôs,
11,1162,1464708954,CONTENT SHARED,2857117417189640073,22763587941636338,8000922562339244508,,,,HTML,https://sprintstories.com/running-gv-sprints-inside-corporates-learn-from-my-mistakes-526f67c1960f?gi=e381d0ad2b1,Running GV sprints inside corporates - learn from my mistakes - Sprint Stories,,en,241,Running GV sprints inside corporates - learn from my mistakes - Sprint Stories,
12,1875,1469487944,CONTENT SHARED,8224860111193157980,6013226412048763966,5651952480198335454,,,,HTML,http://www.jornaldoempreendedor.com.br/destaques/inspiracao/psicologa-de-harvard-diz-que-as-pessoas-julgam-voce-em-segundos-por-esses-criterios/,Psicóloga de Harvard diz que as pessoas julgam você em segundos por esses critérios | Jornal do Empreendedor,,pt,236,Psicóloga de Harvard diz que as pessoas julgam você em segundos por esses critérios | Jornal do Empreendedor,
13,2265,1473105755,CONTENT SHARED,7507067965574797372,-4028919343899978105,-3666565354944070559,,,,HTML,http://gizmodo.uol.com.br/disputa-tabs-vs-espacos/,Um bilhão de arquivos mostram quem vence a disputa tabs vs. espaços entre programadores,,pt,233,Um bilhão de arquivos mostram quem vence a disputa tabs vs. espaços entre programadores,
14,2000,1470418766,CONTENT SHARED,-6156751702010469220,3302556033962996625,769925043682591828,,,,HTML,https://blog.codinghorror.com/the-broken-window-theory/,The Broken Window Theory,,en,221,The Broken Window Theory,
15,3091,1487127440,CONTENT SHARED,1469580151036142903,-4465926797008424436,1603046601233039757,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.37 Safari/537.36",SP,BR,HTML,https://dev.to/raddikx/dont-document-your-code-code-your-documentation,Don't document your code. Code your documentation.,,en,209,Don't document your code. Code your documentation.,
16,2629,1477329558,CONTENT SHARED,-4333957157636611418,-7496361692498935601,-4955259521885105809,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36",SP,BR,HTML,https://business.stackoverflow.com/blog/why-programmers-want-private-offices,Why Programmers Want Private Offices,,en,192,Why Programmers Want Private Offices,
17,1216,1464879718,CONTENT SHARED,880612740433495828,6013226412048763966,3831181614891772761,,,,HTML,http://vocerh.uol.com.br/noticias/entrevista/o-que-voce-deve-fazer-para-se-tornar-um-lider-melhor.phtml,O que você deve fazer para se tornar um líder melhor?,,pt,191,O que você deve fazer para se tornar um líder melhor?,
18,1557,1467123962,CONTENT SHARED,-5002383425685129595,-3390049372067052505,2471338745689678750,,,,HTML,http://www.mckinsey.com/global-themes/leadership/changing-change-management,Changing change management,,en,190,Changing change management,
19,600,1461698179,CONTENT SHARED,6044362651232258738,6013226412048763966,4613953821207157764,,,,HTML,http://vocesa.uol.com.br/noticias/acervo/cinco-competencias-comportamentais-para-voce-ser-um-bom-lider.phtml,Cinco competências comportamentais para você ser um bom líder,,pt,184,Cinco competências comportamentais para você ser um bom líder,
20,580,1461608361,CONTENT SHARED,5238119115012015307,-3390049372067052505,6068971232842203123,,,,HTML,https://hbr.org/2016/05/embracing-agile,Embracing Agile,,en,182,Embracing Agile,
21,1578,1467219707,CONTENT SHARED,8901449108040307914,-6786856227257648356,4843271338129443641,,,,HTML,https://www.infoq.com/br/presentations/monitoramento-em-tempo-real-com-elasticsearch-e-kibana,Monitoramento em tempo real com Elasticsearch e Kibana,,pt,179,Monitoramento em tempo real com Elasticsearch e Kibana,
22,1245,1464962305,CONTENT SHARED,2372438485070148864,3636910968448833585,-7707155044672153170,,,,HTML,https://www.infoq.com/articles/Continuous-Delivery-Maturity-Model,The Continuous Delivery Maturity Model,,en,178,The Continuous Delivery Maturity Model,
23,1333,1465557971,CONTENT SHARED,-5148591903395022444,-2979881261169775358,6661249173876371595,,,,HTML,http://code.joejag.com/2016/anti-if-the-missing-patterns.html,Anti-If: The missing patterns,,en,176,Anti-If: The missing patterns,
24,1511,1466729247,CONTENT SHARED,-4503975842879662368,8250502084456448386,970831914672612417,,,,HTML,http://backlinko.com/google-ranking-factors,Google Ranking Factors: The Complete List,,en,176,Google Ranking Factors: The Complete List,
25,1076,1464034990,CONTENT SHARED,-8742648016180281673,6644119361202586331,595221735013488469,,,,HTML,"http://revistaepoca.globo.com/Revista/Epoca/0,,EDG78613-8056-483,00.html",Aposta na inovação,,pt,175,Aposta na inovação,
26,2442,1474982976,CONTENT SHARED,6031953227014493100,-35428957105270993,2954312914497351516,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36",MG,BR,HTML,http://epoca.globo.com/vida/noticia/2016/09/o-chefe-e-gay-e-dai.html,O chefe é gay. E daí?,,pt,173,O chefe é gay. E daí?,
27,1737,1468337707,CONTENT SHARED,1356221992133852808,-1032019229384696495,1370975477017368957,,,,HTML,https://techcrunch.com/2016/07/11/the-brilliant-mechanics-of-pokemon-go/,The brilliant mechanics of Pokémon Go,,en,171,The brilliant mechanics of Pokémon Go,
28,949,1463146938,CONTENT SHARED,-5784991738549272379,2279740393166882579,1579934520221634711,,,,HTML,http://irving.com.br/esp8266/nodemcu-esp8266-o-modulo-que-desbanca-o-arduino-e-facilitara-a-internet-das-coisas/,NodeMCU (ESP8266) o módulo que desbanca o Arduino e facilitará a Internet das Coisas...,,pt,166,NodeMCU (ESP8266) o módulo que desbanca o Arduino e facilitará a Internet das Coisas...,
29,1409,1466013280,CONTENT SHARED,1854874463930846880,534764222466712491,7914515688450890484,,,,HTML,https://mulheresnacomputacao.com/2016/06/14/o-dia-em-que-tive-mais-medo-de-estar-errada/,O dia em que tive mais medo de estar errada.,,pt,165,O dia em que tive mais medo de estar errada.,
